accuracy,loss,val_accuracy,val_loss
0.8643653988838196,0.4077637195587158,0.9441340565681458,0.15889301896095276
0.9560669660568237,0.14467447996139526,0.9720670580863953,0.10575966536998749
0.9668758511543274,0.10781608521938324,0.9734637141227722,0.07881451398134232
0.9696652889251709,0.08941640704870224,0.9636871218681335,0.1110897809267044
0.9721059799194336,0.08890404552221298,0.9608938694000244,0.11681333184242249
0.9728033542633057,0.07997572422027588,0.9664804339408875,0.099589504301548
0.9773361086845398,0.06749141961336136,0.9608938694000244,0.10330220311880112
0.9790794849395752,0.06171692907810211,0.9748603105545044,0.0789247527718544
0.9769874215126038,0.06574246287345886,0.9622905254364014,0.1138700321316719
0.9804741740226746,0.05817069485783577,0.9678770899772644,0.108371801674366
0.9818689227104187,0.05354997143149376,0.9664804339408875,0.0866531953215599
0.9808228611946106,0.05541861429810524,0.9692737460136414,0.0846109688282013
0.9839609265327454,0.046538446098566055,0.9748603105545044,0.07831966876983643
0.982914924621582,0.050839561969041824,0.9720670580863953,0.08561751246452332
0.9843096137046814,0.0481235533952713,0.9622905254364014,0.09758439660072327
0.98221755027771,0.05265121906995773,0.9664804339408875,0.10087375342845917
0.9857043027877808,0.04375312477350235,0.9594972133636475,0.11523176729679108
0.9874476790428162,0.03796306997537613,0.9636871218681335,0.10992714762687683
0.9874476790428162,0.0336887389421463,0.9762569665908813,0.07953237742185593
0.991283118724823,0.03637426719069481,0.9776536226272583,0.059504978358745575
0.9874476790428162,0.03442500904202461,0.9762569665908813,0.07831288129091263
0.9850069880485535,0.03834350407123566,0.9678770899772644,0.11178185790777206
0.9846583008766174,0.04328160360455513,0.9720670580863953,0.09380894899368286
0.9853556752204895,0.044058121740818024,0.9762569665908813,0.08003589510917664
0.990934431552887,0.03114395961165428,0.9790502786636353,0.06398922950029373
